"@timestamp","@version","_id","_ignored","_index","_score","data_stream.dataset","data_stream.namespace","data_stream.type","destination.ip","destination.port","event.action","event.category","event.created","event.original","event.outcome","event.type","host.ip","log.version","msg_id","nat.dst_xltd_ip","nat.dst_xltd_port","nat.src_xltd_ip","network.transport","network.vrf","observer.hostname","observer.mac","observer.serial_number","observer.type","observer.unit_id","observer.version","proc_id","proc_name",protocol,sd,"security.encrypted","security.policy_display_name","security.policy_id","security.policy_name","security.rule_id","security.rule_name","session.action","session.create_reason","session.delete_reason","session.direction","session.dstvlan","session.dstvpcid","session.dstvpcname","session.flags","session.id","session.iflow_bytes","session.iflow_pkts","session.rflow_bytes","session.rflow_pkts","session.srcvpcname","source.ip","source.port","source.vlan","syslog_priority","syslog_proto","syslog_version",tags
"Feb 15, 2025 @ 17:18:01.864",1,qEJnCpUBWCP9tmTIDCEY,"nat.dst_xltd_ip, nat.src_xltd_ip",".ds-logs-network_traffic-pensando-2025.02.15-000001","-","network_traffic",pensando,logs,"193.190.77.36","9,200","flow_delete",network,"Feb 15, 2025 @ 17:18:01.864","<14>1 2025-02-15T16:18:00Z bx-rt2 pen-netagent 1099 - - 2025-02-15T16:18:00Z,flow_delete,allow,8b568d2c-b781-4469-856e-16fde7b22280,10.192.96.8,57681,193.190.77.36,9200,6,6939,00000000-0000-0000-0000-000000000000,,,0,0,0,0,3310,DSS,DL.10.15.0005,US41L6B03Q,ec50.aaa4.e055,2,v3,,,,,,false,from-host,flow_sync,tcp_rst,core,,,,0,3300,0
","-","-","172.16.1.49",v3,"-","0.0.0.0","(empty)","0.0.0.0",tcp,"8b568d2c-b781-4469-856e-16fde7b22280","bx-rt2","ec50.aaa4.e055",US41L6B03Q,DSS,2,"DL.10.15.0005",1099,"pen-netagent",6,"-",false,"(empty)","00000000-0000-0000-0000-000000000000","(empty)","(empty)","(empty)",allow,"flow_sync","tcp_rst","from-host","(empty)","(empty)","(empty)","0,3300,0",6939,0,0,0,0,core,"10.192.96.8","57,681","3,310",14,udp,1,"pensando_flowlog, _geoip_lookup_failure"
"Feb 15, 2025 @ 17:18:01.864",1,qUJnCpUBWCP9tmTIDCEY,"nat.dst_xltd_ip, nat.src_xltd_ip",".ds-logs-network_traffic-pensando-2025.02.15-000001","-","network_traffic",pensando,logs,"193.190.77.36","9,200","flow_delete",network,"Feb 15, 2025 @ 17:18:01.864","<14>1 2025-02-15T16:18:00Z bx-rt2 pen-netagent 1099 - - 2025-02-15T16:18:00Z,flow_delete,allow,8b568d2c-b781-4469-856e-16fde7b22280,10.192.96.8,57680,193.190.77.36,9200,6,2101799,00000000-0000-0000-0000-000000000000,,,0,0,0,0,3310,DSS,DL.10.15.0005,US41L6B03Q,ec50.aaa4.e055,2,v3,,,,,,false,from-host,flow_sync,tcp_rst,core,,,,0,3300,0
","-","-","172.16.1.49",v3,"-","0.0.0.0","(empty)","0.0.0.0",tcp,"8b568d2c-b781-4469-856e-16fde7b22280","bx-rt2","ec50.aaa4.e055",US41L6B03Q,DSS,2,"DL.10.15.0005",1099,"pen-netagent",6,"-",false,"(empty)","00000000-0000-0000-0000-000000000000","(empty)","(empty)","(empty)",allow,"flow_sync","tcp_rst","from-host","(empty)","(empty)","(empty)","0,3300,0",2101799,0,0,0,0,core,"10.192.96.8","57,680","3,310",14,udp,1,"pensando_flowlog, _geoip_lookup_failure"
"Feb 15, 2025 @ 17:18:00.024",1,HNRnCpUByVDSCTPlBP31,"nat.dst_xltd_ip, nat.src_xltd_ip",".ds-logs-network_traffic-pensando-2025.02.15-000001","-","network_traffic",pensando,logs,"193.190.77.36","9,200","flow_delete",network,"Feb 15, 2025 @ 17:18:00.024","<14>1 2025-02-15T16:17:58Z bx-rt2 pen-netagent 1099 - - 2025-02-15T16:17:58Z,flow_delete,allow,8b568d2c-b781-4469-856e-16fde7b22280,10.192.96.7,50512,193.190.77.36,9200,6,20699,00000000-0000-0000-0000-000000000000,,,0,0,0,0,3310,DSS,DL.10.15.0005,US41L6B03Q,ec50.aaa4.e055,2,v3,,,,,,false,from-host,flow_sync,tcp_rst,core,,,,0,3300,0
","-","-","172.16.1.49",v3,"-","0.0.0.0","(empty)","0.0.0.0",tcp,"8b568d2c-b781-4469-856e-16fde7b22280","bx-rt2","ec50.aaa4.e055",US41L6B03Q,DSS,2,"DL.10.15.0005",1099,"pen-netagent",6,"-",false,"(empty)","00000000-0000-0000-0000-000000000000","(empty)","(empty)","(empty)",allow,"flow_sync","tcp_rst","from-host","(empty)","(empty)","(empty)","0,3300,0",20699,0,0,0,0,core,"10.192.96.7","50,512","3,310",14,udp,1,"pensando_flowlog, _geoip_lookup_failure"
"Feb 15, 2025 @ 17:18:00.024",1,HdRnCpUByVDSCTPlBP31,"nat.dst_xltd_ip, nat.src_xltd_ip",".ds-logs-network_traffic-pensando-2025.02.15-000001","-","network_traffic",pensando,logs,"193.190.77.36","9,200","flow_delete",network,"Feb 15, 2025 @ 17:18:00.024","<14>1 2025-02-15T16:17:58Z bx-rt2 pen-netagent 1099 - - 2025-02-15T16:17:58Z,flow_delete,allow,8b568d2c-b781-4469-856e-16fde7b22280,10.192.96.4,52864,193.190.77.36,9200,6,2626864,00000000-0000-0000-0000-000000000000,,,0,0,0,0,3310,DSS,DL.10.15.0005,US41L6B03Q,ec50.aaa4.e055,2,v3,,,,,,false,from-host,flow_sync,tcp_rst,core,,,,0,3300,0
","-","-","172.16.1.49",v3,"-","0.0.0.0","(empty)","0.0.0.0",tcp,"8b568d2c-b781-4469-856e-16fde7b22280","bx-rt2","ec50.aaa4.e055",US41L6B03Q,DSS,2,"DL.10.15.0005",1099,"pen-netagent",6,"-",false,"(empty)","00000000-0000-0000-0000-000000000000","(empty)","(empty)","(empty)",allow,"flow_sync","tcp_rst","from-host","(empty)","(empty)","(empty)","0,3300,0",2626864,0,0,0,0,core,"10.192.96.4","52,864","3,310",14,udp,1,"pensando_flowlog, _geoip_lookup_failure"
"Feb 15, 2025 @ 17:17:59.510",1,G9RnCpUByVDSCTPlAv31,"nat.dst_xltd_ip, nat.src_xltd_ip",".ds-logs-network_traffic-pensando-2025.02.15-000001","-","network_traffic",pensando,logs,"10.192.96.7",67,"flow_create",network,"Feb 15, 2025 @ 17:17:59.510","<14>1 2025-02-15T16:17:57Z bx-rt1 pen-netagent 1101 - - 2025-02-15T16:17:57Z,flow_create,allow,8b568d2c-b781-4469-856e-16fde7b22280,10.195.224.63,68,10.192.96.7,67,17,160,101eb96b-b1dd-446c-afd1-65f12a749f8e,713293058464102888,DHCP_workload,0,0,0,0,3300,DSS,DL.10.15.0005,US41L6B064,ec50.aaa4.e083,2,v3,ZoneS-ABX,,,,,false,from-uplink,flow_miss,NA,core,,,,0,3300,0
",allow,allowed,"172.16.1.44",v3,"-","0.0.0.0","(empty)","0.0.0.0",udp,"8b568d2c-b781-4469-856e-16fde7b22280","bx-rt1","ec50.aaa4.e083",US41L6B064,DSS,2,"DL.10.15.0005",1101,"pen-netagent",17,"-",false,"(empty)","101eb96b-b1dd-446c-afd1-65f12a749f8e","ZoneS-ABX",713293058464102888,"DHCP_workload",allow,"flow_miss",NA,"from-uplink","(empty)","(empty)","(empty)","0,3300,0",160,0,0,0,0,core,"10.195.224.63",68,"3,300",14,udp,1,"pensando_flowlog, _geoip_lookup_failure"
"Feb 15, 2025 @ 17:17:59.509",1,"_NRnCpUByVDSCTPlAvz1","nat.dst_xltd_ip, nat.src_xltd_ip",".ds-logs-network_traffic-pensando-2025.02.15-000001","-","network_traffic",pensando,logs,"193.190.77.36","9,200","flow_create",network,"Feb 15, 2025 @ 17:17:59.509","<14>1 2025-02-15T16:17:57Z bx-rt1 pen-netagent 1101 - - 2025-02-15T16:17:57Z,flow_create,allow,8b568d2c-b781-4469-856e-16fde7b22280,10.192.96.8,57679,193.190.77.36,9200,6,10139,f9193bc7-bfc0-4279-aadc-d9ddc2756048,8186983896086191884,Elastic-logging,0,0,0,0,3310,DSS,DL.10.15.0005,US41L6B064,ec50.aaa4.e083,2,v3,Global-VIVES-policy,,,,,false,from-host,NA,NA,core,,,,0,3300,0
",allow,allowed,"172.16.1.44",v3,"-","0.0.0.0","(empty)","0.0.0.0",tcp,"8b568d2c-b781-4469-856e-16fde7b22280","bx-rt1","ec50.aaa4.e083",US41L6B064,DSS,2,"DL.10.15.0005",1101,"pen-netagent",6,"-",false,"(empty)","f9193bc7-bfc0-4279-aadc-d9ddc2756048","Global-VIVES-policy",8186983896086191884,"Elastic-logging",allow,NA,NA,"from-host","(empty)","(empty)","(empty)","0,3300,0",10139,0,0,0,0,core,"10.192.96.8","57,679","3,310",14,udp,1,"pensando_flowlog, _geoip_lookup_failure"
"Feb 15, 2025 @ 17:17:59.509",1,"_dRnCpUByVDSCTPlAvz1","nat.dst_xltd_ip, nat.src_xltd_ip",".ds-logs-network_traffic-pensando-2025.02.15-000001","-","network_traffic",pensando,logs,"193.190.77.36","9,200","flow_create",network,"Feb 15, 2025 @ 17:17:59.509","<14>1 2025-02-15T16:17:57Z bx-rt1 pen-netagent 1101 - - 2025-02-15T16:17:57Z,flow_create,allow,8b568d2c-b781-4469-856e-16fde7b22280,10.192.96.7,50512,193.190.77.36,9200,6,20673,f9193bc7-bfc0-4279-aadc-d9ddc2756048,8186983896086191884,Elastic-logging,0,0,0,0,3310,DSS,DL.10.15.0005,US41L6B064,ec50.aaa4.e083,2,v3,Global-VIVES-policy,,,,,false,from-host,NA,NA,core,,,,0,3300,0
",allow,allowed,"172.16.1.44",v3,"-","0.0.0.0","(empty)","0.0.0.0",tcp,"8b568d2c-b781-4469-856e-16fde7b22280","bx-rt1","ec50.aaa4.e083",US41L6B064,DSS,2,"DL.10.15.0005",1101,"pen-netagent",6,"-",false,"(empty)","f9193bc7-bfc0-4279-aadc-d9ddc2756048","Global-VIVES-policy",8186983896086191884,"Elastic-logging",allow,NA,NA,"from-host","(empty)","(empty)","(empty)","0,3300,0",20673,0,0,0,0,core,"10.192.96.7","50,512","3,310",14,udp,1,"pensando_flowlog, _geoip_lookup_failure"
"Feb 15, 2025 @ 17:17:59.509",1,"_tRnCpUByVDSCTPlAvz1","nat.dst_xltd_ip, nat.src_xltd_ip",".ds-logs-network_traffic-pensando-2025.02.15-000001","-","network_traffic",pensando,logs,"193.190.77.36","9,200","flow_create",network,"Feb 15, 2025 @ 17:17:59.509","<14>1 2025-02-15T16:17:57Z bx-rt1 pen-netagent 1101 - - 2025-02-15T16:17:57Z,flow_create,allow,8b568d2c-b781-4469-856e-16fde7b22280,10.192.96.4,52864,193.190.77.36,9200,6,2626861,f9193bc7-bfc0-4279-aadc-d9ddc2756048,8186983896086191884,Elastic-logging,0,0,0,0,3310,DSS,DL.10.15.0005,US41L6B064,ec50.aaa4.e083,2,v3,Global-VIVES-policy,,,,,false,from-host,NA,NA,core,,,,0,3300,0
",allow,allowed,"172.16.1.44",v3,"-","0.0.0.0","(empty)","0.0.0.0",tcp,"8b568d2c-b781-4469-856e-16fde7b22280","bx-rt1","ec50.aaa4.e083",US41L6B064,DSS,2,"DL.10.15.0005",1101,"pen-netagent",6,"-",false,"(empty)","f9193bc7-bfc0-4279-aadc-d9ddc2756048","Global-VIVES-policy",8186983896086191884,"Elastic-logging",allow,NA,NA,"from-host","(empty)","(empty)","(empty)","0,3300,0",2626861,0,0,0,0,core,"10.192.96.4","52,864","3,310",14,udp,1,"pensando_flowlog, _geoip_lookup_failure"
"Feb 15, 2025 @ 17:17:59.509",1,"_9RnCpUByVDSCTPlAvz1","nat.dst_xltd_ip, nat.src_xltd_ip",".ds-logs-network_traffic-pensando-2025.02.15-000001","-","network_traffic",pensando,logs,"2.20.158.146",443,"flow_create",network,"Feb 15, 2025 @ 17:17:59.509","<14>1 2025-02-15T16:17:57Z bx-rt1 pen-netagent 1101 - - 2025-02-15T16:17:57Z,flow_create,allow,8b568d2c-b781-4469-856e-16fde7b22280,10.192.96.7,50520,2.20.158.146,443,6,529996,f9193bc7-bfc0-4279-aadc-d9ddc2756048,12762438024079656759,DEFECT,0,0,0,0,3310,DSS,DL.10.15.0005,US41L6B064,ec50.aaa4.e083,2,v3,Global-VIVES-policy,,,,,false,from-host,NA,NA,core,,,,0,3300,0
",allow,allowed,"172.16.1.44",v3,"-","0.0.0.0","(empty)","0.0.0.0",tcp,"8b568d2c-b781-4469-856e-16fde7b22280","bx-rt1","ec50.aaa4.e083",US41L6B064,DSS,2,"DL.10.15.0005",1101,"pen-netagent",6,"-",false,"(empty)","f9193bc7-bfc0-4279-aadc-d9ddc2756048","Global-VIVES-policy",12762438024079656759,DEFECT,allow,NA,NA,"from-host","(empty)","(empty)","(empty)","0,3300,0",529996,0,0,0,0,core,"10.192.96.7","50,520","3,310",14,udp,1,"pensando_flowlog, _geoip_lookup_failure"
"Feb 15, 2025 @ 17:17:59.509",1,ANRnCpUByVDSCTPlAv31,"nat.dst_xltd_ip, nat.src_xltd_ip",".ds-logs-network_traffic-pensando-2025.02.15-000001","-","network_traffic",pensando,logs,"193.190.77.36","9,200","flow_create",network,"Feb 15, 2025 @ 17:17:59.509","<14>1 2025-02-15T16:17:57Z bx-rt1 pen-netagent 1101 - - 2025-02-15T16:17:57Z,flow_create,allow,8b568d2c-b781-4469-856e-16fde7b22280,10.192.96.8,57680,193.190.77.36,9200,6,2104396,f9193bc7-bfc0-4279-aadc-d9ddc2756048,8186983896086191884,Elastic-logging,0,0,0,0,3310,DSS,DL.10.15.0005,US41L6B064,ec50.aaa4.e083,2,v3,Global-VIVES-policy,,,,,false,from-host,NA,NA,core,,,,0,3300,0
",allow,allowed,"172.16.1.44",v3,"-","0.0.0.0","(empty)","0.0.0.0",tcp,"8b568d2c-b781-4469-856e-16fde7b22280","bx-rt1","ec50.aaa4.e083",US41L6B064,DSS,2,"DL.10.15.0005",1101,"pen-netagent",6,"-",false,"(empty)","f9193bc7-bfc0-4279-aadc-d9ddc2756048","Global-VIVES-policy",8186983896086191884,"Elastic-logging",allow,NA,NA,"from-host","(empty)","(empty)","(empty)","0,3300,0",2104396,0,0,0,0,core,"10.192.96.8","57,680","3,310",14,udp,1,"pensando_flowlog, _geoip_lookup_failure"
