@timestamp,source.ip,destination.ip,source.port,destination.port,network.transport,session.iflow_bytes,session.iflow_pkts,event.action,session.id,label
2025-04-05 22:02:50.198919,10.0.0.33,192.168.1.15,20158,1071,tcp,18004,1,flow_create,667112,0
2025-04-05 21:35:06.198919,10.0.0.43,192.168.1.9,57776,1058,udp,2367,49,flow_create,627041,0
2025-04-05 22:01:24.230681,10.0.0.32,192.168.1.50,13472,1039,tcp,0,1,flow_create,693740,1
2025-04-05 21:36:09.198919,10.0.0.50,192.168.1.41,35198,1050,tcp,9548,8,flow_create,832576,0
2025-04-05 22:10:32.198919,10.0.0.44,192.168.1.5,22383,1030,udp,8799,83,flow_create,757283,0
2025-04-05 21:38:10.232664,172.16.0.13,172.31.0.13,47729,1034,udp,91,1,flow_create,909543,1
2025-04-05 21:55:39.198919,10.0.0.24,192.168.1.33,42152,1062,tcp,15040,53,flow_create,582265,0
2025-04-05 21:47:39.198919,10.0.0.16,192.168.1.1,40848,1070,udp,12129,18,flow_create,102857,0
2025-04-05 22:09:05.198919,10.0.0.23,192.168.1.19,27606,1031,tcp,5144,37,flow_create,663739,0
2025-04-05 21:40:51.198919,10.0.0.4,192.168.1.36,64360,1050,tcp,8470,12,flow_create,623713,0
2025-04-05 21:32:20.198919,10.0.0.1,192.168.1.7,32840,1074,udp,8488,99,flow_create,428371,0
2025-04-05 22:04:23.198919,10.0.0.48,192.168.1.21,33098,1049,tcp,17522,67,flow_create,844490,0
2025-04-05 21:36:11.198919,10.0.0.47,192.168.1.4,53946,1027,tcp,10720,17,flow_create,455883,0
2025-04-05 21:20:47.198919,10.0.0.15,192.168.1.16,60495,1040,tcp,10310,37,flow_create,319116,0
2025-04-05 21:38:52.198919,10.0.0.2,192.168.1.42,43787,1046,tcp,3180,59,flow_create,429439,0
2025-04-05 22:05:23.198919,10.0.0.13,192.168.1.25,15185,1094,tcp,3070,95,flow_create,351404,0
2025-04-05 21:27:49.198919,10.0.0.25,192.168.1.7,20836,1091,tcp,17706,15,flow_create,453533,0
2025-04-05 22:03:17.198919,10.0.0.32,192.168.1.32,26001,1065,udp,17389,40,flow_create,479288,0
2025-04-05 21:33:00.198919,10.0.0.28,192.168.1.13,36092,1041,udp,16146,78,flow_create,560036,0
2025-04-05 21:34:34.198919,10.0.0.20,192.168.1.5,32202,1081,udp,5147,86,flow_create,977389,0
2025-04-05 21:47:07.198919,10.0.0.41,192.168.1.50,48792,1027,tcp,13880,12,flow_create,975427,0
2025-04-05 21:42:21.198919,10.0.0.6,192.168.1.8,30828,1071,udp,3283,95,flow_create,901961,0
2025-04-05 21:18:27.231684,10.0.0.42,192.168.1.17,55183,1090,tcp,326,1,flow_create,891847,1
2025-04-05 21:25:00.198919,10.0.0.42,192.168.1.27,49243,1050,udp,9922,81,flow_create,887086,0
2025-04-05 21:44:04.198919,10.0.0.5,192.168.1.42,42420,1050,udp,4234,21,flow_create,520242,0
2025-04-05 22:07:02.198919,10.0.0.12,192.168.1.16,39101,1029,tcp,4010,19,flow_create,991234,0
2025-04-05 21:54:17.198919,10.0.0.4,192.168.1.24,25150,1024,tcp,18156,60,flow_create,196346,0
2025-04-05 21:50:26.198919,10.0.0.9,192.168.1.1,45894,1097,udp,16702,15,flow_create,429251,0
2025-04-05 21:44:33.198919,10.0.0.39,192.168.1.5,13553,1055,udp,1146,98,flow_create,289360,0
2025-04-05 21:29:09.198919,10.0.0.47,192.168.1.13,53054,1094,udp,18164,64,flow_create,386342,0
2025-04-05 22:16:21.198919,10.0.0.25,192.168.1.3,46977,1027,udp,16631,25,flow_create,880768,0
2025-04-05 22:00:29.198919,10.0.0.23,192.168.1.27,27751,1093,tcp,8903,84,flow_create,372458,0
2025-04-05 21:56:02.198919,10.0.0.20,192.168.1.4,25190,1063,tcp,7192,75,flow_create,235351,0
2025-04-05 22:14:42.198919,10.0.0.28,192.168.1.21,48199,1094,udp,7507,87,flow_create,494754,0
2025-04-05 21:39:38.198919,10.0.0.23,192.168.1.44,13353,1092,udp,13375,86,flow_create,725755,0
2025-04-05 22:07:28.198919,10.0.0.49,192.168.1.37,11175,1036,tcp,7022,92,flow_create,721666,0
2025-04-05 21:51:33.198919,10.0.0.40,192.168.1.33,53642,1041,udp,3335,50,flow_create,751576,0
2025-04-05 21:53:02.198919,10.0.0.39,192.168.1.44,43135,1033,tcp,5391,27,flow_create,689685,0
2025-04-05 21:48:47.198919,10.0.0.19,192.168.1.38,39692,1035,tcp,14216,47,flow_create,267536,0
2025-04-05 21:56:10.198919,10.0.0.11,192.168.1.5,42175,1064,tcp,17846,37,flow_create,148985,0
2025-04-05 21:20:30.198919,10.0.0.13,192.168.1.22,11837,1031,tcp,11517,37,flow_create,964149,0
2025-04-05 21:45:00.198919,10.0.0.20,192.168.1.43,15411,1081,udp,3517,44,flow_create,298113,0
2025-04-05 22:07:30.198919,10.0.0.30,192.168.1.49,39632,1046,udp,11711,6,flow_create,629405,0
2025-04-05 21:53:00.198919,10.0.0.42,192.168.1.28,11578,1027,udp,11526,41,flow_create,661250,0
2025-04-05 22:17:20.198919,10.0.0.5,192.168.1.14,43188,1026,tcp,4031,54,flow_create,666457,0
2025-04-05 22:11:20.198919,10.0.0.40,192.168.1.14,26014,1065,tcp,6663,97,flow_create,547018,0
2025-04-05 21:49:32.198919,10.0.0.1,192.168.1.32,49208,1096,tcp,7846,55,flow_create,242731,0
2025-04-05 21:43:24.228667,10.0.0.41,192.168.1.3,35990,1031,tcp,0,1,flow_create,695474,1
2025-04-05 21:26:08.198919,10.0.0.27,192.168.1.12,38100,1074,udp,16015,92,flow_create,675122,0
2025-04-05 21:49:17.198919,10.0.0.18,192.168.1.20,29108,1078,tcp,17296,84,flow_create,460684,0
2025-04-05 21:40:56.198919,10.0.0.47,192.168.1.38,57464,1062,tcp,7829,58,flow_create,980598,0
2025-04-05 22:04:17.198919,10.0.0.4,192.168.1.17,54680,1028,tcp,7219,36,flow_create,765914,0
2025-04-05 21:40:39.198919,10.0.0.44,192.168.1.24,53242,1042,udp,18189,51,flow_create,188465,0
2025-04-05 22:17:33.198919,10.0.0.35,192.168.1.49,20999,1037,tcp,6258,14,flow_create,585201,0
2025-04-05 22:01:31.198919,10.0.0.18,192.168.1.2,32801,1048,tcp,19186,13,flow_create,200755,0
2025-04-05 21:47:19.198919,10.0.0.37,192.168.1.28,23983,1075,udp,16305,56,flow_create,105497,0
2025-04-05 22:00:57.198919,10.0.0.19,192.168.1.26,51474,1099,tcp,12419,66,flow_create,512511,0
2025-04-05 21:30:50.198919,10.0.0.43,192.168.1.25,24869,1063,udp,490,79,flow_create,421198,0
2025-04-05 21:24:36.198919,10.0.0.3,192.168.1.7,39401,1076,udp,11091,14,flow_create,817712,0
2025-04-05 21:26:26.198919,10.0.0.32,192.168.1.35,40557,1044,tcp,1960,35,flow_create,459352,0
2025-04-05 21:40:27.198919,10.0.0.6,192.168.1.25,50511,1085,tcp,15225,53,flow_create,275845,0
2025-04-05 22:09:07.198919,10.0.0.5,192.168.1.7,47865,1036,tcp,9730,47,flow_create,914084,0
2025-04-05 21:35:00.198919,10.0.0.20,192.168.1.10,56011,1044,tcp,18681,88,flow_create,213013,0
